user_id,user_age,user_level,user_learning_interests,user_avg_session_minutes,user_posts_count,user_comments_made,user_likes_given,user_friends_count,days_since_signup,post_id,post_topic_category,post_topic_title,post_word_count,post_has_image,post_likes,post_comments,post_reposts,post_age_hours,post_is_pinned,author_friend_status,topic_interest_match,peer_engagement_count,created_at,engaged
1052,37,ADVANCED,Vocabulary|Listening,5.6,0,127,77,76,158,5443,Writing,Formal vs informal register,175,no,348,60,25,255.7,false,BLOCKED,0.045,12,02/06/2026,0
1093,32,ADVANCED,"Speaking,Writing",37.1,19,158,227,87,73,5457,writing,Formal vs informal register,502,true,156,44,25,396.7,0,FRIEND,0.92,10,2026-01-23 13:52:00,1
1005,28,intermediate,Grammar,18,77,16,189,47,451,5526,Reading,Article of the week,198,no,113,62,5,67.5,False,BLOCKED,0.094,0,2026-03-23 00:03:00,0
1074,39,Intermediate,Listening|Vocabulary,58.3,7,131,570,68,293,5373,IELTS,Listening trap words,587,false,231,66,25,703.2,false,NOT_FRIEND,0.143,6,2026-01-22 02:10:00,0
1191,18,Beginner,Speaking; Listening; Grammar,59.7,68,162,275,35,608,5589,Grammar,Conditionals — when to use which,563,false,256,78,21,154.9,false,PENDING,0.75,10,2026-01-20 04:50:00,1
1053,,advanced,Reading,10.6,11,166,491,71,38,5095,IELTS,Writing task 2 essay structures,249,false,225,52,24,10.9,false,BLOCKED,0.237,0,2026-04-01 00:04:00,0
1133,28,ADVANCED,Listening; IELTS; Vocabulary,55,67,37,324,25,86,5257,WRITING,Essay feedback exchange,60,yes,141,12,20,469.1,0,NOT_FRIEND,0.228,5,2026-01-04 14:04:00,0
1067,18,Beginner,"IELTS,Vocabulary",2.3,26,61,182,93,511,5550,grammar,Conditionals — when to use which,184,yes,187,1,10,552.9,no,PENDING,0.227,9,2026-01-30 16:21:00,1
1035,27,Advanced,Grammar; Event; Writing,8.3,15,38,596,91,408,5491,Speaking,Small talk openers,423,false,128,1,17,151.6,no,BLOCKED,0.212,8,2026-01-29 18:17:00,0
1206,32,Advanced,Event,32.5,0,59,420,23,327,5407,reading,Reading speed tracker,201,no,83,46,16,533.6,false,PENDING,0.189,1,2026-01-20 03:02:00,0
1076,20, Advanced ,Vocabulary|Event|Writing,7.4,56,78,392,49,692,5550,Grammar,Conditionals — when to use which,184,true,187,1,10,552.9,false,FRIEND,0.098,7,30-01-2026,1
1193,32,beginner,BusinessEnglish,47.1,64,20,456,97,248,5281,Event,Pronunciation bootcamp,217,yes,343,78,22,337.1,0,PENDING,0.014,12,2026-02-03 00:09:00,1
1211,NaN,Intermediate,TOEFL,22.8,46,80,45,17,825,5440,IELTS,IELTS band 7 roadmap,95,true,179,12,17,547.8,0,NOT_FRIEND,0.115,9,2026-04-04 14:33:00,1
1102,null,Beginner,Grammar; Listening; BusinessEnglish,45.2,67,103,589,39,93,5522,event,Speaking club Friday,368,true,296,90,12,641,0,BLOCKED,0.046,0,02/08/2026,0
